,phone_name,price,links
11,"Infinix SMART 7 (Azure Blue, 64 GB)","₹9,499",https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMAZGXKU&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
12,"Infinix SMART 7 (Night Black, 64 GB)","₹9,499",https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB99HTRS1&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
13,"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,499",https://www.flipkart.com/motorola-g13-matte-charcoal-128-gb/p/itmb7de00f096581?pid=MOBGM2EHGGHQ9GN7&lid=LSTMOBGM2EHGGHQ9GN7V0BTAY&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGM2EHGGHQ9GN7.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
14,"MOTOROLA e13 (Aurora Green, 64 GB)","₹9,499",https://www.flipkart.com/motorola-e13-aurora-green-64-gb/p/itmb52d8f826cd9a?pid=MOBGKHNBA55HDSZR&lid=LSTMOBGKHNBA55HDSZRHOAFME&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGKHNBA55HDSZR.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
15,"POCO C50 (Royal Blue, 32 GB)","₹9,499",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
16,"vivo T2x 5G (Marine Blue, 128 GB)","₹9,499",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCAIBDO3Z&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
17,"vivo T2x 5G (Aurora Gold, 128 GB)","₹9,499",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSI1GIZR&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
18,"vivo T2x 5G (Aurora Gold, 128 GB)","₹9,499",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXKM9M4E&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
19,"vivo T2x 5G (Glimmer Black, 128 GB)","₹9,499",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEHY68W1&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
20,"vivo T2x 5G (Marine Blue, 128 GB)","₹9,499",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRIAHQ7J&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
21,"REDMI A1+ (Light Blue, 32 GB)","₹9,499",https://www.flipkart.com/redmi-a1-light-blue-32-gb/p/itm4999515e917f6?pid=MOBGGYBAN8HMVT5P&lid=LSTMOBGGYBAN8HMVT5PWUDNSV&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGGYBAN8HMVT5P.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
22,"Infinix HOT 30i (Mirror Black, 64 GB)","₹9,499",https://www.flipkart.com/infinix-hot-30i-mirror-black-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2QRUEBEHG&lid=LSTMOBGNPK2QRUEBEHGKBH4RF&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGNPK2QRUEBEHG.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
23,"POCO C55 (Cool Blue, 128 GB)","₹9,499",https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFEKXH4XM&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=08f673fa-c27a-44f3-b437-8764e9866202.MOBGMXSWJHRVUWFE.SEARCH&ppt=None&ppn=None&ssid=jvdlz1e03k0000001684395105949&qH=28388ea49f54c5b8
